Month,Day,Time,load,Solar,Wind,Stored,BattIn,BattOut
10,278,9,22.127494571007375,157.04490147852823,12.526499999999999,3.0898041140000925,0.0,0.0
10,278,10,22.24423924776804,78.20961739491455,9.175,3.0898041140000916,0.0,0.0
10,278,11,22.168673195701082,80.40325434293622,8.1175,3.0898041140000916,0.0,0.0
10,278,12,22.012092154422984,141.80284182340858,6.551500000000001,3.089804114000092,101.50532011727438,0.0
10,278,13,21.85728481409211,62.89166399890034,5.881,104.59512423127447,46.91537918480823,0.0
10,278,14,21.80011092229774,45.29930502007988,3.863200000000001,151.51050341608266,27.362394097782143,0.0
10,278,15,22.00629167294692,20.35186167568806,4.654299999999999,178.8728975138648,0.0,0.0
10,278,16,22.420538730207195,14.362093049346523,4.931499999999999,178.8728975138648,0.0,3.3425394771359422
10,278,17,23.470921235296952,0.0,4.359999999999999,175.53035803672884,0.0,20.42856358663491
10,278,18,23.65628097392599,0.0,5.179000000000002,155.10179445009393,0.0,19.75123567496097
10,278,19,22.82473481543319,0.0,2.718400000000001,135.35055877513295,0.0,21.492608033600415
10,278,20,21.673283314927165,0.0,0.8095999999999998,113.85795074153253,0.0,22.30217350606859
10,278,21,20.138089217595596,0.0,0.0,91.55577723546395,0.0,21.526551809295132
10,278,22,18.481947890808577,0.0,0.0,70.02922542616882,0.0,19.756224362168442
10,278,23,17.191860089238286,0.0,0.0,50.273001064000375,0.0,18.37718876455188
10,279,0,17.088873579284478,0.0,5.948499999999999,31.895812299448508,0.0,11.9084698869957
10,279,1,17.130100141841627,0.0,10.069499999999998,19.987342412452815,0.0,7.547407954934932
10,279,2,16.860449659999816,0.0,50.5,12.439934457517886,0.0,0.0
10,279,3,16.799808262750055,0.0,50.5,12.43993445751789,0.0,0.0
10,279,4,16.82703696918315,0.0,50.5,12.439934457517891,0.0,0.0
10,279,5,17.301206355741606,0.0,50.5,12.439934457517891,0.0,0.0
10,279,6,17.659541884944723,34.57610423545938,50.5,12.439934457517891,0.0,0.0
10,279,7,19.183694294397615,106.53696578413297,50.5,12.43993445751789,0.0,0.0
10,279,8,20.615646213170372,176.97166149269015,50.5,12.439934457517891,0.0,0.0
10,279,9,21.477600956371028,183.31089146411173,50.1685,12.43993445751789,0.0,0.0
10,279,10,21.970034668899565,106.68143134307523,49.394999999999996,12.43993445751789,0.0,0.0
10,279,11,22.273816909509623,123.26404874725417,49.888,12.439934457517891,0.0,0.0
10,279,12,22.266865919311034,88.08808181048643,38.174,12.439934457517893,0.0,0.0
