3740360,city??,state??,country??,2013,43.759869,-69.331055,Not Available,1,8760
WIND Toolkit data from NREL downloaded on 2019-3-17,,,,,,,,,
Temperature,Pressure,Speed,Direction,,,,,,
C,atm,m/s,Degrees,,,,,,
-1.3,1.01,17.13,224.4,,,,,,
-0.3,1.01,18.146,223.6,,,,,,
0.4,1.01,18.543,223.9,,,,,,
1.5,1.01,17.734,223.6,,,,,,
2.0,1.01,17.46,225.2,,,,,,
2.2,1.01,16.843,226.5,,,,,,
2.5,1.01,14.863,223.3,,,,,,
3.1,1.0,14.805,221.4,,,,,,
3.7,1.0,13.569,221.0,,,,,,
4.3,1.0,12.796,222.3,,,,,,
4.7,1.0,13.285,225.6,,,,,,
5.0,1.0,14.508,227.1,,,,,,
5.3,1.0,14.551,227.4,,,,,,
5.4,1.0,13.337,226.2,,,,,,
5.2,1.0,11.878,225.2,,,,,,
4.9,1.0,11.795,226.7,,,,,,
4.9,1.0,11.774,221.7,,,,,,
4.9,1.0,10.092,218.8,,,,,,
5.0,1.0,10.132,216.4,,,,,,
5.3,1.0,9.537,209.8,,,,,,
5.4,1.0,11.649,213.1,,,,,,
5.5,1.0,11.914,207.6,,,,,,
5.4,0.99,13.379,207.1,,,,,,
5.4,0.99,12.885,204.2,,,,,,
5.4,0.99,14.246,206.7,,,,,,
5.5,0.99,15.268,204.4,,,,,,
5.6,0.99,13.55,208.7,,,,,,
5.7,0.99,15.763,216.9,,,,,,
5.8,0.99,17.17,220.7,,,,,,
5.4,0.99,15.226,225.1,,,,,,
5.7,0.99,15.647,221.2,,,,,,
6.3,0.99,15.406,220.4,,,,,,
6.8,0.99,16.315,230.0,,,,,,
6.3,0.99,15.806,259.5,,,,,,
4.8,0.99,20.679,266.9,,,,,,
3.9,0.99,16.236,267.9,,,,,,
2.6,0.99,17.866,265.4,,,,,,
1.6,0.99,18.482,266.9,,,,,,
-0.2,0.99,18.339,266.6,,,,,,
-1.3,0.99,16.721,271.9,,,,,,
-2.7,1.0,16.587,285.8,,,,,,
-4.9,1.0,13.129,302.8,,,,,,
-6.3,1.0,15.381,296.6,,,,,,
-7.0,1.0,17.273,291.1,,,,,,
-8.1,1.0,16.486,292.8,,,,,,
-8.8,1.0,14.881,296.6,,,,,,
-9.4,1.0,15.39,297.0,,,,,,
-9.7,1.0,14.28,298.0,,,,,,
-10.1,1.0,13.095,294.5,,,,,,
-10.1,1.0,12.519,287.0,,,,,,
-10.3,1.0,10.63,287.6,,,,,,
-10.3,1.0,9.595,286.1,,,,,,
-9.7,1.0,8.386,283.7,,,,,,
-9.2,1.0,6.873,278.4,,,,,,
-8.5,1.0,6.616,275.1,,,,,,
-8.0,1.0,7.117,272.2,,,,,,
-7.5,1.0,4.849,265.5,,,,,,
-6.9,1.0,4.599,268.8,,,,,,
-6.3,1.0,4.053,267.5,,,,,,
-5.9,1.0,2.704,269.3,,,,,,
-5.4,1.0,2.68,260.1,,,,,,
-5.1,1.0,3.51,261.3,,,,,,
-5.2,1.0,3.681,274.4,,,,,,
-5.6,1.0,4.361,305.7,,,,,,
-5.7,1.0,3.97,332.7,,,,,,
-5.5,1.0,4.016,357.8,,,,,,
-5.4,1.0,5.261,351.6,,,,,,
-5.3,1.0,5.371,18.5,,,,,,
-5.0,1.0,9.226,26.3,,,,,,
-4.9,1.0,10.269,33.2,,,,,,
-5.2,0.99,10.279,35.4,,,,,,
-5.4,0.99,10.746,31.4,,,,,,
-6.7,0.99,11.634,14.5,,,,,,
-8.1,0.99,12.131,7.3,,,,,,
-9.0,0.99,11.56,6.7,,,,,,
-9.7,1.0,11.423,9.7,,,,,,
-10.1,1.0,10.837,7.4,,,,,,
-10.2,1.0,10.291,6.4,,,,,,
-9.6,1.0,9.14,2.8,,,,,,
-9.3,1.0,7.877,357.1,,,,,,
-8.7,1.0,6.561,1.1,,,,,,
-8.2,1.0,5.155,351.9,,,,,,
-7.8,1.0,4.917,327.9,,,,,,
-7.7,1.0,6.082,318.2,,,,,,
-7.9,1.0,7.34,303.8,,,,,,
-8.0,1.0,10.556,299.5,,,,,,
-8.5,1.0,10.92,308.8,,,,,,
-9.4,1.0,11.014,310.0,,,,,,
-10.3,1.0,12.436,303.4,,,,,,
-10.9,1.0,11.567,301.1,,,,,,
-11.8,1.0,11.341,310.7,,,,,,
-12.5,1.0,11.46,317.4,,,,,,
-13.2,1.0,11.457,312.9,,,,,,
-13.6,1.0,12.217,299.9,,,,,,
-14.5,1.0,14.383,302.3,,,,,,
-15.0,1.0,14.017,298.8,,,,,,
-15.2,1.0,15.552,290.6,,,,,,
-15.7,1.01,14.344,295.3,,,,,,
-16.6,1.01,14.127,293.9,,,,,,
-16.7,1.01,12.549,291.5,,,,,,
-16.9,1.01,10.92,294.8,,,,,,
-16.7,1.01,10.034,297.3,,,,,,
-16.5,1.0,10.99,292.5,,,,,,
-16.0,1.0,10.736,290.9,,,,,,
-15.4,1.0,10.724,292.6,,,,,,
-15.1,1.0,10.797,293.6,,,,,,
-15.1,1.0,11.188,295.6,,,,,,
-15.0,1.0,12.284,295.5,,,,,,
-15.2,1.0,13.15,295.8,,,,,,
-15.5,1.0,12.824,298.4,,,,,,
-16.2,1.01,10.352,296.4,,,,,,
-16.5,1.01,11.454,297.6,,,,,,
